Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Latvia	LVA	21.4348429139053	17.8514607538496	14.3401102894107	14.1830460098451	14.1193506657277	14.1548581955007	14.1616282906931	14.2326063158722	14.3905357090489	14.6287186694776	14.9221290198492	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Lebanon	LBN	34.1313916032407	28.6376252557659	26.2921173948567	25.2881876113456	24.3633394886629	23.7213740986029	23.626902291919	23.7048553720896	23.9074028889784	24.0565556968377	23.9930381491718	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Lesotho	LSO	43.9403480614497	41.2256596048432	38.8012513448173	38.4370908744272	38.071194269732	37.6916481065719	37.3193142969576	36.9549187758314	36.6141942074668	36.318418810571	36.0726493684843	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Liberia	LBR	45.061313619389	43.2325668887069	43.4363321851373	43.473312600639	43.4585861355939	43.3476840517535	43.2462065892174	43.0941098837632	42.8800202715984	42.6117363735325	42.3057228721701	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Libya	LBY	41.729335017878	32.9542252360011	28.9855053197235	28.9347155701874	28.9086408060973	28.8502779499232	29.1106742748684	29.3298710905539	29.5071311191677	29.6702627774731	29.8328501452113	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Liechtenstein	LIE	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Lithuania	LTU	22.5704705991492	19.5943176475954	15.8475129767326	15.4146124513246	15.0513044234777	14.7664862216544	14.5750674218302	14.4671168136805	14.4343260870299	14.4537263122095	14.5148788999463	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Luxembourg	LUX	17.3554887934896	18.9439747584882	18.1982494391254	17.9943885428971	17.8111341502488	17.6440127665691	17.4029435690919	17.1567329415808	16.9081549317746	16.6632229734464	16.4336724797658	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Macao SAR, China	MAC	25.3558869723546	22.8343138684948	15.3060106851216	14.3153404274613	13.4331277989279	12.7225387467127	12.5749521659758	12.5370453041883	12.6230512484685	12.795329408874	13.0114396381249	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Macedonia, FYR	MKD	26.1907588666018	22.5511182370626	19.4443185158429	18.967179917344	18.5258290754376	18.1523077243832	17.7904126457969	17.5266639926158	17.3302073829108	17.1472207166516	16.9530896296428	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Madagascar	MDG	45.1333655875366	45.4989964630252	44.3225247019635	44.0519846690873	43.747617183814	43.4086771945411	43.0872240694129	42.7436560609894	42.3893120377419	42.0410260382858	41.7093349849126	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Malawi	MWI	45.7743215590013	46.909426501555	46.4761207958557	46.4057294127995	46.3159471217085	46.1885937164857	46.045426577446	45.8341793820248	45.5914487632771	45.3608998917237	45.1569807482118	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Malaysia	MYS	37.0965626068545	34.0631371063507	29.3882860775212	28.6731525413892	28.0109680750672	27.3609060954366	26.8078590599408	26.3520840393087	25.7614923031605	25.3709392770769	25.0179863658507	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Maldives	MDV	47.5156712773155	40.7419824241041	31.2045386114765	30.2093911396585	29.3676713200883	28.6933774336616	28.2453974685339	27.9235072516726	27.715736618904	27.5808234125596	27.4786405871467	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Mali	MLI	46.6652912170666	46.5029728632201	46.9128496036042	47.0038428918874	47.0609507664909	47.0805851488526	47.300815934917	47.438474614446	47.5117461041844	47.5390877993719	47.5261842620673	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Malta	MLT	24.0355123739482	20.8822769771166	17.1421766614733	16.8642591389594	16.5958849746627	16.3042634153918	15.9222363098472	15.5266171955457	15.125723760459	14.7525992104816	14.4321303174338	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Marshall Islands	MHL	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Mauritania	MRT	44.5746207993912	42.8776645161338	41.4977984157006	41.3508712123875	41.1812125152809	40.9915074901153	40.8494358606231	40.6770120837147	40.4789030037049	40.2583115533583	40.0164078549225	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Mauritius	MUS	28.9857131356755	25.7563011383437	23.8093036722717	23.1287555138759	22.4850638076711	21.9446116073468	21.3185974819027	20.7891380276317	20.3206812498021	19.841127823757	19.322155304851	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Mexico	MEX	38.9710994834166	34.3030869307711	31.4578114954039	30.9697698032477	30.4740688256635	29.9725600451238	29.4863274972396	29.0059946524711	28.5316315666087	28.0642774052472	27.6054364091598	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Micronesia, Fed. Sts.	FSM	44.1104109788126	40.316485153123	38.0491054434716	37.6742093575312	37.2909071671107	36.8996033545971	36.2857087633847	35.6853046871981	35.1038392564454	34.559417169659	34.06854298296	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Moldova	MDA	27.9149444767025	23.4551382879864	17.4264053488239	17.0462992512104	16.7496416462373	16.5160682514776	16.2460447529324	16.0358392187602	15.8842520608958	15.7867712420869	15.7334039175727	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Monaco	MCO	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Mongolia	MNG	40.4654452886599	34.7718689701256	27.5755406560382	27.2371091994192	27.0427244517099	26.9537210196497	27.1220344216937	27.3301050905891	27.5901361721952	27.8994842039389	28.2278869425987	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Montenegro	MNE	25.4397161621401	21.4452772929003	20.0615268222027	19.999031852067	19.9059384412196	19.7782143959662	19.6084159901887	19.3748958106254	19.1134847145913	18.8673451763336	18.6549288009703	..
